,year,office_consolidated,vote_share,winner,incumbent,pid_est,gender_est,race_est,loser,incumbent_win,incumbent_lose
36707,1999,Mayor,0.53,1,1,Republican,Male,Caucasian,0,1,0
36714,1995,Mayor,1.0,1,1,Republican,Female,Caucasian,0,1,0
36716,2004,Mayor,0.46,0,0,Republican,Male,Caucasian,1,0,1
36719,2016,Mayor,1.0,1,1,Republican,Male,Caucasian,0,1,0
36753,2013,Mayor,0.51,1,0,Republican,Male,Caucasian,0,0,1
36797,2003,Mayor,0.57,1,1,Democrat,Male,Caucasian,0,1,0
36833,2001,Mayor,1.0,1,1,Republican,Male,Caucasian,0,1,0
36839,2007,Mayor,0.89,1,1,Democrat,Male,Caucasian,0,1,0
36855,2012,Mayor,0.21,0,0,Democrat,Male,Caucasian,1,0,1
36879,1997,Mayor,1.0,1,1,Democrat,Male,Caucasian,0,1,0
36881,2011,Mayor,0.54,1,0,Republican,Male,Caucasian,0,0,1
36893,2020,Mayor,0.52,1,0,Democrat,Female,Hispanic,0,0,1
36898,2005,Mayor,0.45,0,0,Republican,Male,Caucasian,1,0,1
36901,1996,Mayor,0.3,0,1,Republican,Female,Caucasian,1,0,1
36913,2011,Mayor,0.35,0,0,Republican,Female,Caucasian,1,0,1
36916,2001,Mayor,0.42,1,1,Democrat,Male,Caucasian,0,1,0
36920,2003,Mayor,0.49,0,0,Democrat,Unknown,Caucasian,1,0,1
36924,2007,Mayor,0.36,0,0,Republican,Male,Caucasian,1,0,1
36925,1996,Mayor,0.5,1,0,Republican,Male,Caucasian,0,0,1
36940,2021,Mayor,0.41,1,0,Democrat,Female,Caucasian,0,0,1
36947,2017,Mayor,0.71,1,1,Democrat,Female,Caucasian,0,1,0
36974,2013,Mayor,1.0,1,1,Democrat,Male,Caucasian,0,1,0
36987,2016,Mayor,0.51,1,0,Republican,Male,Caucasian,0,0,1
37010,2016,Mayor,0.34,1,0,Unknown,Male,Caucasian,0,0,1
37020,2013,Mayor,0.26,0,0,Democrat,Male,Hispanic,1,0,1
37042,2004,Mayor,0.4,0,0,Republican,Male,Asian,1,0,1
37046,2006,Mayor,0.5,0,0,Republican,Male,Caucasian,1,0,1
37049,2017,Mayor,0.73,1,1,Democrat,Male,Caucasian,0,1,0
37055,1997,Mayor,0.42,0,0,Democrat,Male,Caucasian,1,0,1
37057,2014,Mayor,0.35,0,0,Democrat,Male,Hispanic,1,0,1
37075,1999,Mayor,1.0,1,1,Democrat,Male,Caucasian,0,1,0
37080,2011,Mayor,0.86,1,0,Democrat,Female,Black,0,0,1
37090,2003,Mayor,1.0,1,1,Democrat,Male,Caucasian,0,1,0
37107,2019,Mayor,0.12,0,0,Democrat,Female,Caucasian,1,0,1
37108,2011,Mayor,0.42,0,0,Democrat,Male,Caucasian,1,0,1
37112,2004,Mayor,1.0,1,0,Democrat,Male,Caucasian,0,0,1
37125,2018,Mayor,0.68,1,1,Republican,Male,Caucasian,0,1,0
37129,2017,Mayor,0.26,0,0,Democrat,Male,Caucasian,1,0,1
37130,1998,Mayor,0.59,1,1,Republican,Female,Black,0,1,0
37131,2018,Mayor,0.34,1,0,Democrat,Male,Caucasian,0,0,1
37147,2011,Mayor,0.55,1,0,Democrat,Unknown,Unknown,0,0,1
37159,2016,Mayor,0.34,0,1,Democrat,Male,Black,1,0,1
37165,2014,Mayor,1.0,1,1,Democrat,Male,Caucasian,0,1,0
37166,1999,Mayor,0.8,1,1,Democrat,Unknown,Caucasian,0,1,0
37183,1997,Mayor,0.15,0,0,Democrat,Male,Black,1,0,1
37195,2019,Mayor,0.58,1,0,Democrat,Male,Caucasian,0,0,1
37211,1996,Mayor,0.5,0,0,Unknown,Male,Caucasian,1,0,1
37232,1995,Mayor,0.09,0,0,Democrat,Male,Caucasian,1,0,1
37251,2015,Mayor,0.35,0,0,Democrat,Male,Caucasian,1,0,1
37253,2015,Mayor,0.75,1,1,Republican,Male,Caucasian,0,1,0
37259,2018,Mayor,0.78,1,1,Republican,Male,Caucasian,0,1,0
37262,2004,Mayor,0.41,0,0,Republican,Male,Caucasian,1,0,1
37271,2003,Mayor,0.61,1,1,Republican,Male,Caucasian,0,1,0
37275,1993,Mayor,0.35,0,0,Democrat,Male,Caucasian,1,0,1
37276,1998,Mayor,1.0,1,1,Republican,Male,Black,0,1,0
37282,2004,Mayor,0.51,1,1,Unknown,Male,Hispanic,0,1,0
37283,2007,Mayor,1.0,1,1,Democrat,Male,Caucasian,0,1,0
37285,2015,Mayor,0.27,0,0,Democrat,Male,Hispanic,1,0,1
37301,2020,Mayor,0.56,1,0,Unknown,Male,Caucasian,0,0,1
37333,2017,Mayor,0.55,1,0,Democrat,Female,Caucasian,0,0,1
37337,2013,Mayor,0.69,1,1,Democrat,Male,Caucasian,0,1,0
37348,2013,Mayor,0.55,1,0,Democrat,Female,Black,0,0,1
37355,2010,Mayor,0.48,0,0,Democrat,Male,Caucasian,1,0,1
37358,2019,Mayor,0.42,1,0,Republican,Female,Caucasian,0,0,1
37379,2012,Mayor,0.5,1,0,Democrat,Male,Caucasian,0,0,1
37393,1996,Mayor,0.4,0,0,Republican,Male,Caucasian,1,0,1
37397,2008,Mayor,0.11,0,0,Republican,Male,Caucasian,1,0,1
37420,1996,Mayor,0.45,0,0,Republican,Female,Caucasian,1,0,1
37425,2013,Mayor,0.49,0,0,Unknown,Male,Black,1,0,1
37426,2016,Mayor,0.39,0,1,Republican,Male,Caucasian,1,0,1
37428,2018,Mayor,0.07,0,0,Republican,Male,Asian,1,0,1
37431,2021,Mayor,0.64,1,1,Democrat,Male,Caucasian,0,1,0
37432,1999,Mayor,0.48,0,1,Republican,Male,Caucasian,1,0,1
37443,2007,Mayor,0.4,0,0,Democrat,Male,Caucasian,1,0,1
37450,1996,Mayor,1.0,1,1,Republican,Male,Caucasian,0,1,0
37459,2016,Mayor,0.32,0,0,Democrat,Male,Caucasian,1,0,1
37461,2021,Mayor,0.54,1,0,Republican,Male,Caucasian,0,0,1
37476,1997,Mayor,1.0,1,1,Democrat,Male,Caucasian,0,1,0
37477,2002,Mayor,0.55,1,1,Democrat,Female,Caucasian,0,1,0
37485,2015,Mayor,0.6,1,1,Republican,Male,Caucasian,0,1,0
37487,2017,Mayor,0.01,0,0,Democrat,Male,Caucasian,1,0,1
37501,1996,Mayor,0.45,1,0,Democrat,Male,Caucasian,0,0,1
37530,2016,Mayor,0.27,0,0,Unknown,Male,Caucasian,1,0,1
37533,2012,Mayor,0.39,0,0,Democrat,Male,Caucasian,1,0,1
37553,1995,Mayor,0.45,0,0,Unknown,Male,Caucasian,1,0,1
37563,1995,Mayor,1.0,1,0,Republican,Male,Caucasian,0,0,1
37565,2003,Mayor,0.58,1,1,Democrat,Male,Caucasian,0,1,0
37566,2009,Mayor,0.46,0,0,Democrat,Male,Caucasian,1,0,1
37584,2018,Mayor,0.42,0,1,Republican,Male,Caucasian,1,0,1
37586,2007,Mayor,0.55,1,1,Republican,Male,Caucasian,0,1,0
37590,2016,Mayor,0.43,0,1,Republican,Male,Caucasian,1,0,1
37598,2013,Mayor,0.54,1,1,Democrat,Male,Hispanic,0,1,0
37609,2017,Mayor,0.42,0,0,Republican,Female,Asian,1,0,1
37627,2014,Mayor,0.72,1,1,Democrat,Male,Caucasian,0,1,0
37633,2005,Mayor,0.43,1,0,Democrat,Female,Caucasian,0,0,1
37637,1997,Mayor,0.85,1,0,Democrat,Male,Caucasian,0,0,1
37639,2017,Mayor,0.8,1,0,Republican,Female,Caucasian,0,0,1
37658,2002,Mayor,0.7,1,0,Republican,Male,Caucasian,0,0,1
37677,2009,Mayor,0.51,1,0,Democrat,Male,Black,0,0,1
37680,2018,Mayor,0.33,0,1,Democrat,Female,Caucasian,1,0,1
37682,2003,Mayor,0.26,0,0,Democrat,Male,Caucasian,1,0,1
37691,2015,Mayor,0.17,0,0,Republican,Male,Black,1,0,1
37723,2009,Mayor,1.0,1,1,Democrat,Male,Black,0,1,0
37727,2012,Mayor,0.5,0,0,Republican,Male,Caucasian,1,0,1
37731,1993,Mayor,0.59,1,0,Democrat,Male,Caucasian,0,0,1
37746,2005,Mayor,0.46,0,0,Republican,Male,Caucasian,1,0,1
37759,2020,Mayor,0.2,0,0,Republican,Female,Caucasian,1,0,1
37765,2015,Mayor,0.54,1,1,Democrat,Male,Caucasian,0,1,0
37778,2019,Mayor,0.21,0,0,Democrat,Female,Caucasian,1,0,1
37791,2020,Mayor,0.28,0,0,Democrat,Female,Black,1,0,1
37792,1999,Mayor,0.84,1,0,Democrat,Male,Caucasian,0,0,1
37793,2004,Mayor,0.41,0,0,Unknown,Male,Caucasian,1,0,1
37797,1993,Mayor,0.66,1,1,Democrat,Female,Caucasian,0,1,0
37803,2010,Mayor,0.42,0,0,Republican,Male,Caucasian,1,0,1
37808,2001,Mayor,0.11,0,0,Republican,Male,Caucasian,1,0,1
37817,2003,Mayor,0.29,0,0,Republican,Male,Black,1,0,1
37841,1996,Mayor,0.26,0,0,Unknown,Unknown,Unknown,1,0,1
37842,2017,Mayor,0.01,0,0,Democrat,Male,Caucasian,1,0,1
37850,2016,Mayor,0.44,0,0,Republican,Female,Caucasian,1,0,1
37868,1999,Mayor,1.0,1,1,Republican,Male,Caucasian,0,1,0
37869,2019,Mayor,0.52,1,0,Republican,Male,Caucasian,0,0,1
37881,2020,Mayor,0.29,0,0,Democrat,Female,Caucasian,1,0,1
37921,2014,Mayor,0.7,1,1,Republican,Male,Hispanic,0,1,0
37928,2006,Mayor,0.2,0,0,Democrat,Unknown,Unknown,1,0,1
37936,2016,Mayor,0.53,1,0,Republican,Male,Caucasian,0,0,1
37941,2020,Mayor,0.36,0,0,Unknown,Male,Caucasian,1,0,1
37956,2002,Mayor,0.6,1,0,Democrat,Female,Caucasian,0,0,1
37964,2012,Mayor,0.44,0,0,Republican,Female,Caucasian,1,0,1
37966,2017,Mayor,0.71,1,1,Democrat,Male,Caucasian,0,1,0
37977,2016,Mayor,0.49,0,0,Democrat,Male,Caucasian,1,0,1
37984,2015,Mayor,0.61,1,0,Republican,Male,Caucasian,0,0,1
37985,2017,Mayor,0.52,1,0,Republican,Male,Caucasian,0,0,1
37992,2020,Mayor,0.2,0,1,Republican,Male,Caucasian,1,0,1
38018,1995,Mayor,0.51,1,0,Republican,Male,Caucasian,0,0,1
38026,2007,Mayor,0.53,1,0,Democrat,Male,Caucasian,0,0,1
38046,1995,Mayor,0.48,0,0,Democrat,Male,Caucasian,1,0,1
38053,1997,Mayor,0.34,0,0,Democrat,Male,Caucasian,1,0,1
38083,2003,Mayor,0.66,1,0,Democrat,Male,Black,0,0,1
38110,2019,Mayor,0.08,0,0,Republican,Male,Caucasian,1,0,1
38129,2007,Mayor,0.57,1,0,Democrat,Male,Caucasian,0,0,1
38142,2019,Mayor,0.57,1,1,Democrat,Female,Caucasian,0,1,0
38143,2020,Mayor,0.17,0,0,Democrat,Male,Hispanic,1,0,1
38149,2015,Mayor,0.47,0,1,Democrat,Female,Black,1,0,1
38155,2014,Mayor,0.81,1,0,Republican,Male,Caucasian,0,0,1
38171,1995,Mayor,0.32,0,0,Democrat,Male,Caucasian,1,0,1
38185,2007,Mayor,0.19,0,0,Republican,Male,Caucasian,1,0,1
38186,2016,Mayor,0.42,0,1,Unknown,Unknown,Caucasian,1,0,1
38199,2006,Mayor,0.41,0,0,Republican,Male,Caucasian,1,0,1
38248,2015,Mayor,0.27,0,0,Democrat,Male,Black,1,0,1
38257,2004,Mayor,0.33,0,0,Democrat,Male,Hispanic,1,0,1
38262,2006,Mayor,0.21,0,0,Unknown,Male,Caucasian,1,0,1
38275,2017,Mayor,0.57,1,1,Democrat,Male,Caucasian,0,1,0
38280,2001,Mayor,0.11,0,1,Democrat,Male,Caucasian,1,0,1
38281,2011,Mayor,0.56,1,0,Democrat,Female,Black,0,0,1
38289,2002,Mayor,0.11,0,0,Democrat,Female,Hispanic,1,0,1
38292,2018,Mayor,0.6,1,1,Republican,Male,Caucasian,0,1,0
38294,2011,Mayor,0.74,1,0,Democrat,Male,Caucasian,0,0,1
38295,1993,Mayor,0.78,1,0,Democrat,Male,Caucasian,0,0,1
38304,2018,Mayor,0.48,0,0,Republican,Male,Caucasian,1,0,1
38309,1996,Mayor,0.6,1,1,Republican,Male,Caucasian,0,1,0
38342,2017,Mayor,0.59,1,1,Democrat,Male,Caucasian,0,1,0
38356,1995,Mayor,0.6,1,0,Republican,Female,Caucasian,0,0,1
38385,2006,Mayor,0.13,0,0,Democrat,Female,Caucasian,1,0,1
38438,2016,Mayor,0.26,0,0,Unknown,Male,Caucasian,1,0,1
38441,2009,Mayor,0.63,1,0,Republican,Male,Caucasian,0,0,1
38444,2003,Mayor,0.85,1,1,Democrat,Male,Caucasian,0,1,0
38461,2003,Mayor,0.61,1,1,Democrat,Male,Caucasian,0,1,0
38463,2018,Mayor,0.67,1,0,Democrat,Male,Caucasian,0,0,1
38496,2003,Mayor,0.56,1,1,Democrat,Male,Caucasian,0,1,0
38499,2021,Mayor,0.54,1,1,Democrat,Female,Caucasian,0,1,0
38540,2013,Mayor,0.56,1,1,Republican,Female,Caucasian,0,1,0
38554,2016,Mayor,0.46,0,0,Republican,Male,Caucasian,1,0,1
38561,2008,Mayor,0.46,0,0,Democrat,Female,Caucasian,1,0,1
38584,2009,Mayor,0.61,1,0,Democrat,Male,Caucasian,0,0,1
38587,2003,Mayor,0.59,1,1,Republican,Male,Caucasian,0,1,0
38605,2009,Mayor,0.1,0,0,Democrat,Female,Caucasian,1,0,1
38615,2020,Mayor,0.43,0,0,Unknown,Male,Caucasian,1,0,1
38635,2002,Mayor,0.46,0,0,Republican,Female,Caucasian,1,0,1
38650,2018,Mayor,0.39,0,0,Republican,Male,Caucasian,1,0,1
38664,2004,Mayor,0.32,0,0,Democrat,Male,Caucasian,1,0,1
38669,2011,Mayor,0.65,1,1,Unknown,Unknown,Caucasian,0,1,0
38676,2009,Mayor,0.68,1,1,Republican,Female,Caucasian,0,1,0
38692,2020,Mayor,0.36,0,0,Unknown,Male,Caucasian,1,0,1
38717,2018,Mayor,0.4,0,0,Republican,Male,Caucasian,1,0,1
38734,2005,Mayor,0.53,1,1,Republican,Male,Caucasian,0,1,0
38749,2002,Mayor,0.86,1,1,Republican,Male,Caucasian,0,1,0
38751,2021,Mayor,1.0,1,1,Democrat,Male,Black,0,1,0
38768,2021,Mayor,0.45,0,0,Democrat,Unknown,Unknown,1,0,1
38795,2010,Mayor,0.56,1,0,Democrat,Male,Black,0,0,1
38796,2015,Mayor,0.89,1,1,Democrat,Female,Black,0,1,0
38800,2013,Mayor,0.04,0,0,Democrat,Male,Hispanic,1,0,1
38825,2009,Mayor,0.6,1,1,Democrat,Male,Caucasian,0,1,0
38830,2009,Mayor,0.28,0,0,Republican,Male,Hispanic,1,0,1
38832,2014,Mayor,0.61,1,1,Republican,Female,Black,0,1,0
38835,2009,Mayor,0.49,0,0,Democrat,Female,Caucasian,1,0,1
38838,2002,Mayor,0.44,1,1,Democrat,Male,Caucasian,0,1,0
38873,2012,Mayor,0.69,1,1,Democrat,Male,Caucasian,0,1,0
38878,2021,Mayor,0.75,1,1,Republican,Female,Caucasian,0,1,0
38900,2020,Mayor,0.3,0,0,Democrat,Male,Caucasian,1,0,1
38910,2005,Mayor,0.54,1,0,Democrat,Male,Caucasian,0,0,1
38923,2016,Mayor,0.56,1,0,Unknown,Unknown,Caucasian,0,0,1
38937,2004,Mayor,0.49,0,1,Republican,Male,Caucasian,1,0,1
38938,2013,Mayor,0.29,0,0,Republican,Male,Hispanic,1,0,1
38941,2008,Mayor,0.26,0,0,Democrat,Male,Caucasian,1,0,1
38942,2011,Mayor,0.42,0,1,Democrat,Male,Black,1,0,1
38957,1999,Mayor,0.36,0,0,Democrat,Female,Caucasian,1,0,1
38996,2002,Mayor,1.0,1,1,Republican,Male,Caucasian,0,1,0
38997,2008,Mayor,0.42,0,0,Democrat,Female,Caucasian,1,0,1
39002,1997,Mayor,0.79,1,1,Democrat,Male,Caucasian,0,1,0
39006,2004,Mayor,0.34,0,0,Democrat,Male,Hispanic,1,0,1
39039,2006,Mayor,0.51,1,0,Democrat,Female,Caucasian,0,0,1
39043,2009,Mayor,1.0,1,1,Democrat,Male,Caucasian,0,1,0
39055,2011,Mayor,0.45,1,0,Unknown,Unknown,Caucasian,0,0,1
39084,2009,Mayor,0.78,1,1,Democrat,Male,Caucasian,0,1,0
39089,2010,Mayor,0.57,1,0,Republican,Female,Caucasian,0,0,1
39092,2021,Mayor,0.85,1,1,Democrat,Male,Caucasian,0,1,0
39097,2010,Mayor,0.08,0,0,Republican,Female,Caucasian,1,0,1
39103,2009,Mayor,0.57,1,0,Republican,Male,Caucasian,0,0,1
39104,2019,Mayor,0.64,1,1,Republican,Female,Caucasian,0,1,0
39121,2011,Mayor,0.68,1,1,Democrat,Male,Caucasian,0,1,0
39126,2021,Mayor,0.4,0,0,Republican,Unknown,Unknown,1,0,1
39144,1997,Mayor,0.41,0,1,Democrat,Female,Caucasian,1,0,1
39146,2019,Mayor,0.91,1,0,Democrat,Male,Caucasian,0,0,1
39148,2020,Mayor,0.48,0,1,Democrat,Male,Asian,1,0,1
39151,1993,Mayor,0.19,0,0,Republican,Male,Caucasian,1,0,1
39179,2018,Mayor,0.03,0,0,Republican,Female,Asian,1,0,1
39199,2019,Mayor,0.45,1,1,Democrat,Female,Caucasian,0,1,0
39217,2018,Mayor,0.3,1,0,Republican,Female,Caucasian,0,0,1
39222,2007,Mayor,0.46,0,1,Democrat,Male,Caucasian,1,0,1
39225,2002,Mayor,0.25,0,0,Republican,Male,Caucasian,1,0,1
39233,2002,Mayor,0.69,1,0,Republican,Male,Caucasian,0,0,1
39248,2019,Mayor,0.59,1,1,Republican,Male,Caucasian,0,1,0
39251,2010,Mayor,0.49,1,1,Democrat,Male,Caucasian,0,1,0
39276,2020,Mayor,0.45,0,0,Democrat,Male,Hispanic,1,0,1
39281,2003,Mayor,0.72,1,1,Democrat,Male,Caucasian,0,1,0
39326,1995,Mayor,0.49,0,0,Democrat,Male,Caucasian,1,0,1
39331,2000,Mayor,0.57,1,1,Republican,Male,Caucasian,0,1,0
39335,2009,Mayor,0.44,0,0,Democrat,Male,Caucasian,1,0,1
39347,1999,Mayor,0.38,0,0,Democrat,Male,Black,1,0,1
39349,2017,Mayor,0.47,0,1,Republican,Male,Caucasian,1,0,1
39365,2021,Mayor,0.44,0,0,Republican,Male,Caucasian,1,0,1
39370,1993,Mayor,0.39,0,0,Democrat,Female,Caucasian,1,0,1
39385,2019,Mayor,0.42,0,1,Republican,Male,Caucasian,1,0,1
39391,2000,Mayor,0.45,1,0,Republican,Unknown,Caucasian,0,0,1
39396,2020,Mayor,0.52,1,0,Republican,Male,Caucasian,0,0,1
39403,2020,Mayor,0.35,0,0,Democrat,Male,Caucasian,1,0,1
39405,2007,Mayor,0.63,1,0,Democrat,Male,Caucasian,0,0,1
39420,2008,Mayor,0.59,1,1,Democrat,Female,Caucasian,0,1,0
39422,2017,Mayor,0.51,1,0,Republican,Male,Caucasian,0,0,1
39433,2008,Mayor,0.06,0,0,Democrat,Male,Caucasian,1,0,1
39460,2016,Mayor,0.46,0,0,Republican,Male,Caucasian,1,0,1
39491,1998,Mayor,0.66,1,1,Democrat,Male,Caucasian,0,1,0
39513,1998,Mayor,1.0,1,1,Democrat,Female,Caucasian,0,1,0
39514,2005,Mayor,0.22,0,0,Republican,Female,Caucasian,1,0,1
39528,2011,Mayor,0.56,1,1,Democrat,Male,Caucasian,0,1,0
39544,2017,Mayor,1.0,1,0,Democrat,Male,Black,0,0,1
39553,1997,Mayor,0.55,1,1,Republican,Male,Caucasian,0,1,0
39554,2001,Mayor,0.38,0,0,Republican,Male,Caucasian,1,0,1
39561,2009,Mayor,0.31,0,0,Republican,Female,Asian,1,0,1
39580,1999,Mayor,0.47,0,0,Democrat,Male,Caucasian,1,0,1
39583,2014,Mayor,0.5,1,0,Republican,Female,Caucasian,0,0,1
39615,2008,Mayor,0.46,0,0,Democrat,Male,Caucasian,1,0,1
39619,2014,Mayor,0.53,1,1,Democrat,Male,Caucasian,0,1,0
39624,2003,Mayor,0.41,0,0,Democrat,Male,Caucasian,1,0,1
39637,2009,Mayor,0.64,1,1,Democrat,Male,Caucasian,0,1,0
39646,2015,Mayor,0.39,0,1,Republican,Male,Caucasian,1,0,1
39653,2019,Mayor,0.62,1,0,Democrat,Female,Caucasian,0,0,1
39658,1995,Mayor,0.08,0,0,Democrat,Female,Caucasian,1,0,1
39662,2011,Mayor,0.04,0,0,Democrat,Male,Caucasian,1,0,1
39677,2018,Mayor,0.3,0,0,Democrat,Male,Caucasian,1,0,1
39678,2021,Mayor,0.38,0,0,Democrat,Male,Caucasian,1,0,1
39718,2009,Mayor,0.46,1,0,Democrat,Female,Caucasian,0,0,1
39724,2004,Mayor,0.27,0,0,Democrat,Male,Caucasian,1,0,1
39726,1993,Mayor,0.52,1,0,Democrat,Female,Caucasian,0,0,1
39732,2003,Mayor,0.52,1,0,Democrat,Male,Black,0,0,1
39767,2003,Mayor,0.73,1,1,Democrat,Male,Caucasian,0,1,0
39803,2013,Mayor,0.64,1,1,Democrat,Male,Black,0,1,0
39806,2002,Mayor,0.73,1,1,Democrat,Male,Caucasian,0,1,0
39811,2020,Mayor,0.09,0,0,Democrat,Unknown,Black,1,0,1
39812,2016,Mayor,0.25,0,0,Republican,Male,Caucasian,1,0,1
39813,2006,Mayor,1.0,1,0,Republican,Male,Caucasian,0,0,1
39833,1999,Mayor,1.0,1,1,Democrat,Male,Caucasian,0,1,0
39835,2017,Mayor,0.53,1,0,Democrat,Male,Caucasian,0,0,1
39851,2007,Mayor,0.54,1,1,Republican,Male,Caucasian,0,1,0
39860,2012,Mayor,0.4,1,0,Republican,Male,Caucasian,0,0,1
39861,2000,Mayor,0.32,0,0,Republican,Male,Caucasian,1,0,1
39863,2004,Mayor,0.56,1,0,Republican,Male,Caucasian,0,0,1
39872,2021,Mayor,0.3,0,0,Democrat,Male,Caucasian,1,0,1
39880,2007,Mayor,0.69,1,1,Republican,Male,Caucasian,0,1,0
39895,2014,Mayor,0.5,0,1,Democrat,Female,Black,1,0,1
39899,2005,Mayor,0.52,1,0,Democrat,Male,Black,0,0,1
39951,2017,Mayor,0.36,0,0,Republican,Male,Caucasian,1,0,1
39965,2006,Mayor,0.23,0,0,Democrat,Male,Black,1,0,1
39973,2019,Mayor,0.51,1,1,Democrat,Male,Caucasian,0,1,0
39986,2001,Mayor,0.01,0,0,Democrat,Male,Caucasian,1,0,1
39990,2017,Mayor,0.97,1,1,Democrat,Male,Caucasian,0,1,0
39991,2019,Mayor,0.64,1,1,Democrat,Male,Caucasian,0,1,0
40002,2000,Mayor,0.54,1,1,Democrat,Male,Caucasian,0,1,0
40009,2011,Mayor,0.58,1,1,Democrat,Male,Caucasian,0,1,0
40023,2019,Mayor,1.0,1,1,Democrat,Male,Black,0,1,0
40033,2011,Mayor,0.73,1,1,Republican,Male,Caucasian,0,1,0
40035,2013,Mayor,0.69,1,1,Democrat,Female,Caucasian,0,1,0
40053,1998,Mayor,0.71,1,1,Republican,Male,Caucasian,0,1,0
40055,2013,Mayor,0.1,0,0,Democrat,Male,Black,1,0,1
40059,2007,Mayor,0.64,1,1,Democrat,Male,Caucasian,0,1,0
40064,1994,Mayor,0.56,1,1,Republican,Female,Caucasian,0,1,0
40070,2008,Mayor,0.45,0,0,Republican,Female,Black,1,0,1
40082,2021,Mayor,0.67,1,0,Democrat,Male,Black,0,0,1
40085,1994,Mayor,0.29,1,0,Democrat,Male,Hispanic,0,0,1
40110,2003,Mayor,0.67,1,0,Republican,Male,Caucasian,0,0,1
40120,2015,Mayor,0.16,0,1,Democrat,Male,Caucasian,1,0,1
40136,2010,Mayor,0.5,1,0,Democrat,Female,Caucasian,0,0,1
40140,2000,Mayor,0.61,1,1,Democrat,Male,Caucasian,0,1,0
40154,1994,Mayor,0.59,1,1,Democrat,Male,Black,0,1,0
40157,1996,Mayor,0.26,0,0,Unknown,Male,Caucasian,1,0,1
40166,2005,Mayor,0.67,1,1,Democrat,Male,Caucasian,0,1,0
40177,2013,Mayor,0.48,1,0,Democrat,Male,Caucasian,0,0,1
40180,2012,Mayor,0.65,1,1,Democrat,Female,Caucasian,0,1,0
40196,2021,Mayor,0.66,1,1,Republican,Male,Caucasian,0,1,0
40201,1994,Mayor,0.6,1,0,Republican,Female,Asian,0,0,1
40202,1999,Mayor,0.56,1,1,Republican,Male,Caucasian,0,1,0
40206,2021,Mayor,0.53,1,1,Democrat,Female,Caucasian,0,1,0
40209,2019,Mayor,0.68,1,0,Republican,Male,Caucasian,0,0,1
40234,2009,Mayor,0.57,1,1,Democrat,Male,Caucasian,0,1,0
40236,2007,Mayor,0.39,0,0,Republican,Male,Caucasian,1,0,1
40276,2006,Mayor,0.49,0,0,Democrat,Male,Caucasian,1,0,1
40287,1998,Mayor,0.3,0,0,Democrat,Male,Hispanic,1,0,1
40290,2009,Mayor,0.51,1,0,Democrat,Male,Caucasian,0,0,1
40318,2015,Mayor,0.67,1,0,Democrat,Male,Caucasian,0,0,1
40324,2011,Mayor,0.71,1,1,Republican,Male,Caucasian,0,1,0
40327,2020,Mayor,0.31,0,0,Democrat,Male,Caucasian,1,0,1
40345,1999,Mayor,0.54,1,1,Republican,Male,Caucasian,0,1,0
40352,2019,Mayor,0.43,0,0,Republican,Female,Caucasian,1,0,1
40355,2012,Mayor,0.37,0,0,Democrat,Male,Caucasian,1,0,1
40356,2013,Mayor,0.41,0,0,Republican,Male,Caucasian,1,0,1
40365,2019,Mayor,0.61,1,1,Democrat,Male,Caucasian,0,1,0
40367,2008,Mayor,0.44,1,1,Republican,Male,Caucasian,0,1,0
40399,2011,Mayor,1.0,1,0,Democrat,Male,Caucasian,0,0,1
40403,2013,Mayor,0.71,1,0,Republican,Female,Caucasian,0,0,1
40406,1995,Mayor,0.85,1,1,Democrat,Male,Caucasian,0,1,0
40436,2012,Mayor,0.26,0,0,Unknown,Unknown,Unknown,1,0,1
40454,2013,Mayor,1.0,1,1,Democrat,Male,Caucasian,0,1,0
40473,2005,Mayor,0.59,1,0,Democrat,Male,Caucasian,0,0,1
40513,2021,Mayor,0.13,0,0,Republican,Female,Asian,1,0,1
40519,2012,Mayor,0.33,0,0,Unknown,Male,Caucasian,1,0,1
40527,2008,Mayor,0.33,1,0,Democrat,Male,Caucasian,0,0,1
40531,2005,Mayor,0.51,1,0,Republican,Male,Caucasian,0,0,1
40537,2007,Mayor,0.58,1,0,Democrat,Male,Caucasian,0,0,1
40564,2017,Mayor,0.18,0,0,Republican,Male,Black,1,0,1
40600,2021,Mayor,0.6,1,1,Democrat,Male,Caucasian,0,1,0
40605,2009,Mayor,1.0,1,1,Democrat,Male,Black,0,1,0
40616,2006,Mayor,0.63,1,1,Democrat,Female,Caucasian,0,1,0
40623,2000,Mayor,0.72,1,1,Democrat,Male,Caucasian,0,1,0
40624,2000,Mayor,0.59,1,1,Democrat,Female,Caucasian,0,1,0
40625,2021,Mayor,0.65,1,1,Democrat,Male,Caucasian,0,1,0
40627,2019,Mayor,0.49,0,0,Democrat,Male,Caucasian,1,0,1
40636,2021,Mayor,0.39,1,0,Republican,Male,Caucasian,0,0,1
40639,2005,Mayor,0.52,1,1,Democrat,Male,Caucasian,0,1,0
40680,2003,Mayor,0.54,1,0,Unknown,Male,Caucasian,0,0,1
40706,2020,Mayor,0.46,0,1,Democrat,Male,Hispanic,1,0,1
40720,2003,Mayor,0.34,0,1,Republican,Male,Caucasian,1,0,1
40723,2010,Mayor,0.42,0,0,Unknown,Male,Caucasian,1,0,1
40727,1998,Mayor,0.6,1,0,Republican,Female,Caucasian,0,0,1
